COMUE	Alumni	Award	HiCi	N&S	PUB	PCP	Score total 2016	Rang 2016	Rang 2015
PSL Research University	53.1	63	14.5	28.4	51.8	31.7	40.9	23	25
Université Paris-Saclay.	37.3	54.3	22.9	24.6	66	23.8	40.5	26	26
Sorbonne Universités	34.4	27.4	20.5	30.9	67.1	22	35.6	40	34
Université Sorbonne Paris Cité	16.3	13.3	22.9	35	67	17.7	31.7	52	58
Université Fédérale de Toulouse	0	29.8	14.5	22.2	46.3	17.3	24.8	101-150	99
Université de Lyon	15.4	20	10.3	22.8	51	14.5	24.3	101-150	101-150
Université de Strasbourg	25.1	28.8	10.3	18.2	35.8	22.5	23.9	101-150	87
Aix Marseille Université	13.6	0	20.5	24.2	51.4	17.8	22.8	101-150	101-150
Université Grenoble Alpes	0	14.9	20.5	23.3	41.5	17.2	22.2	101-150	101-150
Université d'Aquitaine	0	0	20.5	18.3	37.4	13.7	17	201-300	151-200
Languedoc-Roussillon Universités	17.8	0	0	16.4	43.7	15.9	15.7	201-300	151-200
Université Bretagne-Loire	0	0	0	11.3	53.9	11.9	14.5	201-300	201-300
Université de Lorraine	11.5	16.3	0	10.7	32	12.6	14.5	201-300	201-300
Université confédérale Léonard de Vinci	11.5	0	0	13.9	38.7	11.1	13	301-400	201-300
Université Côte d’Azur	0	0	10.3	18.6	26	13.3	12.6	301-400	301-400
Lille Nord de France	0	0	0	10.5	41.2	11.1	11.7	301-400	301-400
Université Paris-Est	14.4	3.8	0	2.6	30.5	13.6	10.4	401-500	401-500
Clermont Auvergne	0	0	0	12.4	28.8	14.4	9.9	401-500	
Bourgogne Franche-Comté	10.3	0	0	6	30.8	11.3	9.7	401-500	
Normandie Université	0	0	0	5.7	27.7	9.1	7.8		
HESAM Université	0	0	0	6.7	19.3	8.6	6.2		
Université Paris Lumières	0	0	0	3.7	16.2	6.1	4.7		
Université de Champagne	0	0	0	1.5	17	7.8	4.6		
Université Paris-Seine	0	0	0	1.5	15.9	6.8	4.2		